                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0869,                 2.9725,                 1.2296,                0.00333,                      1,                0.87027,                0.66636,                0.71431,                 3.4211,                0.92033,                0.00034,                0.00034,                0.00034
                      2,                  0.997,                 1.7927,                 1.0596,                0.96637,                 0.7095,                0.89641,                0.62299,                 0.8572,                 3.3911,                0.95588,             0.00069307,             0.00069307,             0.00069307
                      3,                 1.0203,                 1.6602,                 1.0721,                0.85418,                0.60494,                0.76729,                 0.5008,                 1.1097,                 3.5651,                 1.1158,               0.001039,               0.001039,               0.001039
                      4,                 1.0235,                 1.6145,                 1.1109,                0.82568,                0.76025,                0.85554,                 0.6031,                 1.0144,                 2.6845,                 1.0858,              0.0013778,              0.0013778,              0.0013778
                      5,                  1.111,                 1.5442,                 1.1414,                0.85944,                0.90587,                0.93291,                 0.6744,                0.88986,                 1.9796,                 1.0263,              0.0017095,              0.0017095,              0.0017095
                      6,                 1.0269,                 1.4258,                 1.1066,                0.71788,                0.79012,                0.82845,                0.58669,                0.92671,                 2.8115,                 1.0418,               0.001901,               0.001901,               0.001901
                      7,                 1.0276,                 1.3371,                 1.0953,                0.62535,                0.67901,                0.74119,                 0.4641,                 1.0992,                 2.7522,                 1.1915,               0.001901,               0.001901,               0.001901
                      8,                 1.0844,                 1.2692,                 1.1507,                0.54778,                 0.3739,                0.40656,                0.25883,                 1.5581,                 2.3593,                 1.5237,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0534,                 1.1935,                 1.1175,                 0.5787,                0.65432,                 0.6537,                0.45473,                 1.1038,                 1.9504,                 1.1528,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1225,                 1.2184,                 1.1752,                0.76799,                0.81481,                 0.8632,                 0.5894,                0.98165,                 1.7391,                 1.0823,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0864,                 1.1086,                 1.1301,                0.90456,                0.83951,                0.92462,                0.67965,                0.96547,                 1.3115,                 1.0406,              0.0018218,              0.0018218,              0.0018218
                     12,                0.99451,                 1.0053,                 1.0935,                0.91525,                0.88889,                0.94889,                0.68804,                0.91977,                 1.2207,                 1.0374,               0.001802,               0.001802,               0.001802
                     13,                0.99321,                0.96113,                 1.0939,                0.95941,                0.87533,                0.93988,                0.67952,                0.95638,                 1.1445,                 1.0745,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0041,                0.92503,                 1.0884,                0.92553,                0.96296,                0.96817,                0.74596,                 0.9001,                0.85285,                 1.0252,              0.0017624,              0.0017624,              0.0017624
                     15,                  0.934,                 0.8734,                 1.0413,                0.94033,                0.97285,                0.98034,                0.73598,                0.89306,                0.82812,                  1.021,              0.0017426,              0.0017426,              0.0017426
                     16,                0.96254,                0.84526,                 1.0688,                0.93836,                0.93974,                 0.9781,                0.77839,                0.82731,                0.82794,                 1.0225,              0.0017228,              0.0017228,              0.0017228
                     17,                0.95944,                0.81197,                 1.0627,                0.83974,                0.91358,                0.92035,                0.68803,                0.90245,                0.93287,                 1.0439,               0.001703,               0.001703,               0.001703
                     18,                0.92456,                0.79598,                 1.0628,                0.80235,                0.88889,                0.92576,                0.67497,                0.91754,                 1.1127,                 1.0481,              0.0016832,              0.0016832,              0.0016832
                     19,                0.94592,                0.79015,                  1.062,                0.95103,                0.92593,                 0.9618,                0.74339,                0.85737,                0.74177,                  1.008,              0.0016634,              0.0016634,              0.0016634
                     20,                 0.9139,                0.77931,                 1.0475,                0.91866,                0.92593,                0.95548,                0.70144,                0.91482,                0.73278,                 1.0206,              0.0016436,              0.0016436,              0.0016436
                     21,                0.91016,                0.74283,                 1.0668,                0.94514,                0.96296,                0.97853,                0.76007,                0.80141,                0.64447,                0.96814,              0.0016238,              0.0016238,              0.0016238
                     22,                0.91729,                0.73823,                 1.0459,                0.94748,                0.96296,                0.97841,                0.77003,                0.80595,                0.65806,                0.99578,               0.001604,               0.001604,               0.001604
                     23,                0.90419,                0.71778,                 1.0475,                0.94993,                0.96296,                0.97461,                0.75004,                0.83411,                0.69545,                 1.0222,              0.0015842,              0.0015842,              0.0015842
                     24,                0.92113,                0.73011,                 1.0822,                0.98752,                0.97688,                0.98464,                0.79786,                0.74212,                0.61787,                0.97644,              0.0015644,              0.0015644,              0.0015644
                     25,                0.84395,                0.67362,                 1.0201,                0.96327,                0.97127,                0.98053,                0.77567,                0.79194,                0.59791,                0.96696,              0.0015446,              0.0015446,              0.0015446
                     26,                0.90085,                0.70517,                 1.0422,                0.95929,                0.96296,                0.98071,                0.74014,                0.84684,                0.67841,                 1.0082,              0.0015248,              0.0015248,              0.0015248
                     27,                0.84874,                0.64029,                 1.0368,                      1,                 0.9566,                0.97938,                 0.7933,                0.76098,                0.60979,                 0.9888,               0.001505,               0.001505,               0.001505
                     28,                0.84918,                0.68171,                 1.0393,                      1,                0.96997,                0.98101,                0.79462,                0.73827,                0.59099,                0.97133,              0.0014852,              0.0014852,              0.0014852
                     29,                0.85781,                0.66723,                 1.0216,                0.98731,                0.96043,                0.98286,                0.76942,                0.85551,                0.67163,                0.99825,              0.0014654,              0.0014654,              0.0014654
                     30,                0.89541,                0.65787,                 1.0346,                0.99928,                0.96296,                0.98466,                0.81265,                0.72907,                0.53598,                0.94044,              0.0014456,              0.0014456,              0.0014456
                     31,                0.79702,                0.58486,                0.99952,                0.96001,                0.96296,                0.96636,                0.78145,                0.73785,                0.54962,                0.95327,              0.0014258,              0.0014258,              0.0014258
                     32,                0.86177,                 0.6181,                 1.0307,                0.96673,                0.97531,                0.98289,                0.80399,                0.69266,                0.53562,                0.94831,               0.001406,               0.001406,               0.001406
                     33,                  0.806,                0.62171,                 1.0097,                      1,                0.97465,                0.98489,                0.80636,                0.69827,                0.55494,                 0.9443,              0.0013862,              0.0013862,              0.0013862
                     34,                0.79956,                0.60422,                 1.0117,                0.98292,                0.96296,                0.98165,                0.79906,                0.69237,                 0.5421,                0.93424,              0.0013664,              0.0013664,              0.0013664
                     35,                0.76903,                0.58558,                0.99068,                0.98027,                0.96296,                0.97973,                0.80672,                0.70603,                0.54322,                0.94113,              0.0013466,              0.0013466,              0.0013466
                     36,                0.77047,                0.56455,                 1.0048,                0.97466,                0.97531,                0.98416,                0.82709,                0.65854,                 0.5159,                0.91912,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.8074,                0.61369,                 1.0481,                0.96352,                0.97817,                0.98483,                  0.821,                0.69552,                0.47901,                0.93582,               0.001307,               0.001307,               0.001307
                     38,                0.76061,                0.56637,                  0.982,                0.96378,                0.98563,                0.98344,                0.81563,                0.68593,                0.51253,                0.93034,              0.0012872,              0.0012872,              0.0012872
                     39,                0.79353,                0.60954,                0.99927,                0.98585,                0.98765,                0.98383,                 0.8331,                0.66299,                0.45005,                0.92718,              0.0012674,              0.0012674,              0.0012674
                     40,                0.74594,                0.56137,                0.97609,                0.97157,                0.96296,                 0.9783,                0.81616,                0.68142,                0.50426,                0.93028,              0.0012476,              0.0012476,              0.0012476
                     41,                0.73496,                0.54356,                0.97965,                 0.9606,                0.97531,                0.97144,                0.81801,                0.68192,                 0.5071,                0.93672,              0.0012278,              0.0012278,              0.0012278
                     42,                0.75408,                0.58632,                 0.9864,                 0.9756,                0.98721,                0.98414,                0.81699,                0.69501,                0.47658,                0.93506,               0.001208,               0.001208,               0.001208
                     43,                0.75213,                0.56024,                0.98277,                0.97499,                0.96254,                0.98044,                0.81043,                0.67668,                0.49051,                0.92134,              0.0011882,              0.0011882,              0.0011882
                     44,                0.74795,                0.54387,                0.96263,                0.96803,                0.98765,                0.98292,                0.80877,                0.71489,                0.47081,                0.92934,              0.0011684,              0.0011684,              0.0011684
                     45,                0.74918,                0.52296,                0.97402,                 0.9873,                0.98765,                0.98428,                0.82454,                0.64606,                0.44725,                0.92301,              0.0011486,              0.0011486,              0.0011486
                     46,                0.74399,                0.53513,                0.96095,                0.98553,                0.98765,                0.98504,                 0.7993,                0.72607,                0.44849,                0.94313,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.7562,                 0.5173,                0.97919,                0.98158,                0.97531,                0.98648,                0.83421,                 0.6523,                 0.4367,                0.93086,               0.001109,               0.001109,               0.001109
                     48,                0.71689,                0.51792,                0.96543,                0.97436,                0.98765,                0.98411,                0.82756,                0.66235,                0.46406,                0.92741,              0.0010892,              0.0010892,              0.0010892
                     49,                 0.7282,                0.53138,                  0.976,                0.98385,                0.98765,                0.98598,                0.83646,                0.64981,                0.43784,                0.91825,              0.0010694,              0.0010694,              0.0010694
                     50,                0.72565,                0.52057,                0.98342,                0.98623,                0.98765,                0.98635,                0.85111,                0.62526,                0.42005,                 0.9094,              0.0010496,              0.0010496,              0.0010496
                     51,                0.70581,                0.50618,                0.97194,                 0.9738,                0.98765,                0.98548,                  0.838,                0.65468,                 0.4366,                0.91216,              0.0010298,              0.0010298,              0.0010298
                     52,                0.68779,                0.49849,                0.93378,                0.98765,                0.98708,                0.98478,                0.81982,                0.67215,                0.44823,                0.93006,                0.00101,                0.00101,                0.00101
                     53,                0.66863,                0.50094,                0.97647,                0.98706,                0.97531,                0.98402,                0.82107,                0.68117,                0.43149,                0.93499,              0.0009902,              0.0009902,              0.0009902
                     54,                0.67316,                0.50075,                0.96079,                0.98478,                0.98765,                0.98516,                0.84178,                0.64712,                0.43304,                0.91822,              0.0009704,              0.0009704,              0.0009704
                     55,                0.69546,                0.50593,                0.95907,                 0.9875,                0.97497,                0.98535,                0.81829,                0.65951,                0.43287,                0.92586,              0.0009506,              0.0009506,              0.0009506
                     56,                0.66531,                0.47863,                0.94156,                0.98012,                0.98765,                0.98475,                0.82881,                0.65305,                0.44497,                 0.9181,              0.0009308,              0.0009308,              0.0009308
                     57,                0.71664,                0.50468,                0.97697,                0.98746,                0.97196,                0.98415,                0.84832,                0.63341,                0.42585,                0.91556,               0.000911,               0.000911,               0.000911
                     58,                0.71046,                0.49596,                0.96312,                0.98728,                0.95807,                0.98371,                0.83933,                0.65207,                0.43507,                0.92129,              0.0008912,              0.0008912,              0.0008912
                     59,                0.69856,                 0.4902,                0.98914,                0.97003,                0.97531,                0.98175,                0.86138,                0.58024,                0.41787,                0.89668,              0.0008714,              0.0008714,              0.0008714
                     60,                0.68025,                0.49183,                0.96527,                0.96182,                0.98765,                0.98467,                0.83657,                 0.6126,                0.41081,                0.91068,              0.0008516,              0.0008516,              0.0008516
                     61,                0.64597,                0.46205,                0.94379,                0.98314,                0.98765,                0.98485,                0.83555,                0.63464,                0.39682,                0.91479,              0.0008318,              0.0008318,              0.0008318
                     62,                0.65151,                0.45677,                0.93797,                 0.9854,                0.98765,                0.98574,                 0.8402,                0.62828,                  0.417,                0.91933,               0.000812,               0.000812,               0.000812
                     63,                0.64285,                0.46557,                0.94913,                0.98286,                0.98765,                0.98495,                0.84812,                0.62072,                0.40864,                0.90441,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.6744,                0.46223,                0.94134,                 0.9748,                0.98765,                0.98446,                0.84497,                0.62905,                0.43492,                 0.9176,              0.0007724,              0.0007724,              0.0007724
                     65,                0.66015,                0.47688,                  0.945,                0.97289,                0.98765,                0.98506,                0.83504,                0.61118,                0.40295,                0.91065,              0.0007526,              0.0007526,              0.0007526
                     66,                0.67275,                0.48278,                0.94908,                0.97559,                0.98678,                0.98478,                  0.837,                0.61551,                 0.3889,                0.91663,              0.0007328,              0.0007328,              0.0007328
                     67,                0.66757,                0.46345,                0.96861,                0.96264,                0.97531,                0.98511,                0.84032,                0.62949,                0.41286,                0.92294,               0.000713,               0.000713,               0.000713
                     68,                0.65583,                0.46635,                  0.938,                0.97646,                0.97531,                0.98578,                0.85535,                0.61435,                0.41454,                0.90523,              0.0006932,              0.0006932,              0.0006932
                     69,                0.68137,                0.48057,                0.96033,                0.97326,                0.97531,                0.98475,                0.83843,                0.60476,                0.40108,                0.90798,              0.0006734,              0.0006734,              0.0006734
